After 14200 steps, rate is 0.00010.  cost is 2.67448, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14300 steps, rate is 0.00010.  cost is 2.35513, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14400 steps, rate is 0.00010.  cost is 2.47364, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14500 steps, rate is 0.00010.  cost is 2.17675, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14600 steps, rate is 0.00010.  cost is 2.46329, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14700 steps, rate is 0.00010.  cost is 2.29450, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14800 steps, rate is 0.00010.  cost is 2.52010, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 14900 steps, rate is 0.00010.  cost is 2.41238, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 15000 steps, rate is 0.00010.  cost is 2.42902, In iterator: 1. nowCBleu: 0.19422, maxCBlue: 0.19422. nowSBleu: 0.21698, maxSBlue: 0.21698.
After 15100 steps, rate is 0.00010.  cost is 1.89975, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
After 15200 steps, rate is 0.00010.  cost is 2.34876, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
After 15300 steps, rate is 0.00010.  cost is 2.25398, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
After 15400 steps, rate is 0.00010.  cost is 2.10396, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
After 15500 steps, rate is 0.00010.  cost is 2.60164, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
After 15600 steps, rate is 0.00010.  cost is 2.54247, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
After 15700 steps, rate is 0.00010.  cost is 2.34173, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
After 15800 steps, rate is 0.00010.  cost is 1.92014, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
After 15900 steps, rate is 0.00010.  cost is 2.87747, In iterator: 1. nowCBleu: 0.23136, maxCBlue: 0.23136. nowSBleu: 0.25580, maxSBlue: 0.25580.
