After 11900 steps, rate is 0.00010.  cost is 2.76105, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12000 steps, rate is 0.00010.  cost is 2.98222, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12100 steps, rate is 0.00010.  cost is 3.02174, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12200 steps, rate is 0.00010.  cost is 1.98886, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12300 steps, rate is 0.00010.  cost is 2.21555, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12400 steps, rate is 0.00010.  cost is 2.73924, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12500 steps, rate is 0.00010.  cost is 2.74626, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12600 steps, rate is 0.00010.  cost is 2.82392, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12700 steps, rate is 0.00010.  cost is 2.41732, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12800 steps, rate is 0.00010.  cost is 2.46260, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 12900 steps, rate is 0.00010.  cost is 2.97019, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13000 steps, rate is 0.00010.  cost is 2.70811, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13100 steps, rate is 0.00010.  cost is 2.57008, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13200 steps, rate is 0.00010.  cost is 2.86903, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13300 steps, rate is 0.00010.  cost is 2.38023, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13400 steps, rate is 0.00010.  cost is 2.37366, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13500 steps, rate is 0.00010.  cost is 2.66565, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13600 steps, rate is 0.00010.  cost is 2.70775, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13700 steps, rate is 0.00010.  cost is 2.53729, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13800 steps, rate is 0.00010.  cost is 3.29956, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 13900 steps, rate is 0.00010.  cost is 2.84559, In iterator: 0. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14000 steps, rate is 0.00010.  cost is 2.15735, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14100 steps, rate is 0.00010.  cost is 2.87999, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14200 steps, rate is 0.00010.  cost is 1.87904, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14300 steps, rate is 0.00010.  cost is 2.31597, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14400 steps, rate is 0.00010.  cost is 2.79084, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14500 steps, rate is 0.00010.  cost is 2.64264, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14600 steps, rate is 0.00010.  cost is 2.92276, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14700 steps, rate is 0.00010.  cost is 2.36985, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14800 steps, rate is 0.00010.  cost is 2.34130, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 14900 steps, rate is 0.00010.  cost is 2.59507, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 15000 steps, rate is 0.00010.  cost is 1.92828, In iterator: 1. nowCBleu: 0.17577, maxCBlue: 0.17577. nowSBleu: 0.19651, maxSBlue: 0.19651.
After 15100 steps, rate is 0.00010.  cost is 2.40053, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
After 15200 steps, rate is 0.00010.  cost is 2.69210, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
After 15300 steps, rate is 0.00010.  cost is 2.64243, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
After 15400 steps, rate is 0.00010.  cost is 2.23983, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
After 15500 steps, rate is 0.00010.  cost is 3.14393, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
After 15600 steps, rate is 0.00010.  cost is 2.13285, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
After 15700 steps, rate is 0.00010.  cost is 2.26417, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
After 15800 steps, rate is 0.00010.  cost is 2.24019, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
After 15900 steps, rate is 0.00010.  cost is 2.71690, In iterator: 1. nowCBleu: 0.21597, maxCBlue: 0.21597. nowSBleu: 0.24129, maxSBlue: 0.24129.
